id,scenario,owner_kind,owner_name,initial_preference_weight,declared_aggregation,rubric_name,description,mode,max_score,run_condition,reference_final_selected,required_context,configured_model,callable_name,source_path,source_line,definition_sha256,port_disposition
icaap/preference/01/00,icaap,preference,compliance,0.25,weighted_average,regulatory_mapping_completeness,,llm,10.0,on_completion,True,,o3,,,,30ae4b32461500df36893fcc614a59296537b49edaf0a5639ef0e1ed89e8c8c9,faithful_definition_native_criterion
icaap/preference/01/01,icaap,preference,compliance,0.25,weighted_average,formal_signoffs_present,,llm,10.0,on_completion,True,,o3,,,,8e3aa998aa80a2add5508115d28f085abfdf71480567bb37f4aa1b8d3b3f97b3,faithful_definition_native_criterion
icaap/preference/01/02,icaap,preference,compliance,0.25,weighted_average,data_lineage_and_audit_trail,,llm,10.0,on_completion,True,,o3,,,,1bfb650e4586ffe708820870a464aa82a08ea0086b94cc1e040ee2890ffd747e,faithful_definition_native_criterion
icaap/preference/01/03,icaap,preference,compliance,0.25,weighted_average,model_risk_controls,,llm,10.0,on_completion,True,,o3,,,,9d93b5c5f688f19b370e0475a8e86ca461b6789c058d7d6a0127c259fed0102a,faithful_definition_native_criterion
icaap/preference/01/04,icaap,preference,compliance,0.25,weighted_average,sensitive_info_handling,,llm,10.0,on_completion,True,,o3,,,,2aa99f31f39f4a67c7f0e97c47d2e85c3669afefc957c9e7c9af750f6fff7f18,faithful_definition_native_criterion
icaap/preference/01/05,icaap,preference,compliance,0.25,weighted_average,capital_adequacy_thresholds,,llm,10.0,on_completion,True,,o3,,,,a3616ac0efc570eb43e9c6509714c398aed5ba59ae012869cdac7730795fe52d,faithful_definition_native_criterion
icaap/preference/01/06,icaap,preference,compliance,0.25,weighted_average,material_risk_coverage,,llm,10.0,on_completion,True,,o3,,,,0f44a57e918c3c3b52387248aa5606f96190d3d244d925c5da80c9f3f3f0f4aa,faithful_definition_native_criterion
icaap/preference/02/00,icaap,preference,governance,0.15,weighted_average,governance_completeness,,llm,10.0,on_completion,True,,o3,,,,95035da18ce1c1cc6453d59fda31ef06d4e6ca3879e4053ce49138ab9e3bbc60,faithful_definition_native_criterion
icaap/preference/02/01,icaap,preference,governance,0.15,weighted_average,dual_perspective_coherence,,llm,10.0,on_completion,True,,o3,,,,1ac82ba22085cd7e61a37b1ed1a35f190ab48bffc96bbbe8e1554953e1f6016c,faithful_definition_native_criterion
icaap/preference/02/02,icaap,preference,governance,0.15,weighted_average,management_actions_credibility,,llm,10.0,on_completion,True,,o3,,,,dd381245ca548c1150a45673e912381a9b0e0aa41df35527f908ca8980019fa1,faithful_definition_native_criterion
icaap/preference/02/03,icaap,preference,governance,0.15,weighted_average,decision_log_coverage,,llm,8.0,on_completion,True,,o3,,,,a9fc28c1b5a0c4b3bcc6d375c488d43a966c528894bd9c6ceeeb95d4cf004a49,faithful_definition_native_criterion
icaap/preference/02/04,icaap,preference,governance,0.15,weighted_average,escalation_discipline,,llm,6.0,on_completion,True,,o3,,,,4633a69532d3e47aebd2de7c8f77f429991c7ea260d620a92ab9a702c70112c5,faithful_definition_native_criterion
icaap/preference/02/05,icaap,preference,governance,0.15,weighted_average,governance_decision_log_signal,,callable,1.0,on_completion,True,,,create_preferences.<locals>.governance_decision_log_presence,examples/end_to_end_examples/icap/preferences.py,218,eb08a60546c4e1356a60922a7e3f847d51712ae784e05d34cbafb54979938513,faithful_definition_native_criterion
icaap/preference/03/00,icaap,preference,speed,0.1,weighted_average,deadline_adherence,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.speed_deadline_adherence,examples/end_to_end_examples/icap/preferences.py,134,c96666795322239ae959a103d67b89894503299b7cbb6a75352fd78b38c05186,faithful_definition_native_criterion
icaap/preference/03/01,icaap,preference,speed,0.1,weighted_average,time_to_first_output,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.speed_time_to_first_output,examples/end_to_end_examples/icap/preferences.py,148,0039f3ffe65757de2f77579d31d6bf93886e83b3ad44a72036c00d0eff58d4f8,faithful_definition_native_criterion
icaap/preference/03/02,icaap,preference,speed,0.1,weighted_average,blocked_deadtime_penalty,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.speed_blocked_deadtime_ratio,examples/end_to_end_examples/icap/preferences.py,167,adbececd509bc2083240bc18d026a98f49cbaac833582a9be5aaeeb90509b87a,faithful_definition_native_criterion
icaap/preference/03/03,icaap,preference,speed,0.1,weighted_average,throughput_progress,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.speed_throughput_progress,examples/end_to_end_examples/icap/preferences.py,180,09719acbb56b48c34d077d20f86a035ed6d94bf41120262bc3c750d589cfcd3c,faithful_definition_native_criterion
icaap/preference/03/04,icaap,preference,speed,0.1,weighted_average,speed_efficiency,,callable,1.0,on_completion,True,,,speed_rubric,examples/end_to_end_examples/standard_rules.py,23,f8dc04ea2c59d98f69f3ede4922ced52650272b646dcf2d662c5218bb306e3d1,faithful_definition_native_criterion
icaap/preference/03/05,icaap,preference,speed,0.1,weighted_average,milestone_plan_quality,,llm,6.0,on_completion,True,,o3,,,,1001c3dc7df22fc315b6bb71cd15b778c87a9937a08c6ccde0aaa7b4044d665c,faithful_definition_native_criterion
icaap/preference/03/06,icaap,preference,speed,0.1,weighted_average,critical_path_robustness,,llm,6.0,on_completion,True,,o3,,,,9f9132a43f8c90e1c6d52c26a48f06f24a4f8f5940a3ced938a5c0c9b2840e2b,faithful_definition_native_criterion
icaap/preference/03/07,icaap,preference,speed,0.1,weighted_average,risk_register_quality,,llm,6.0,on_completion,True,,o3,,,,968672f829113c820a52433bba1ba2ebd8d1b565556a6c6484334bd6ee4b417d,faithful_definition_native_criterion
icaap/preference/04/00,icaap,preference,cost,0.1,weighted_average,cost_efficiency,,callable,1.0,on_completion,True,,,cost_rubric,examples/end_to_end_examples/standard_rules.py,43,2ea8cda316af48b11314e97e687490d78c3530f7a763eab3ec63c6ed35ca0a3d,faithful_definition_native_criterion
icaap/preference/04/01,icaap,preference,cost,0.1,weighted_average,cost_overrun_efficiency,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.cost_overrun_efficiency,examples/end_to_end_examples/icap/preferences.py,190,da6d729b699e20b4d57d7948aaf374226474f9d98c4ca01c85fa1cfb2038467b,faithful_definition_native_criterion
icaap/preference/04/02,icaap,preference,cost,0.1,weighted_average,cost_per_task_stability,,callable,1.0,each_timestep,False,,,create_preferences.<locals>.cost_per_completed_task_stability,examples/end_to_end_examples/icap/preferences.py,199,c881a95b9bafa5396715232b1042c3dfe7e988306b8313bc78bd8c6506214735,faithful_definition_native_criterion
icaap/preference/04/03,icaap,preference,cost,0.1,weighted_average,cost_justification_quality,,llm,6.0,on_completion,True,,o3,,,,8a2ed492c0a930a7e86a7c0f0bd027d45189bed397ede7aa60f03622ba7bf06d,faithful_definition_native_criterion
icaap/preference/04/04,icaap,preference,cost,0.1,weighted_average,cost_realism_vs_scope,,llm,6.0,on_completion,True,,o3,,,,2896813425fa489aea047d77b52f21727b33e03d00a3dba3420488f6db58183b,faithful_definition_native_criterion
icaap/preference/04/05,icaap,preference,cost,0.1,weighted_average,savings_opportunities_identified,,llm,4.0,on_completion,True,,o3,,,,1b0aa04f35df6d1153d5b0593b867acf9513ceed017d1c52edb5f18673121bab,faithful_definition_native_criterion
icaap/preference/04/06,icaap,preference,cost,0.1,weighted_average,icap_adversarial_scenarios,,llm,10.0,on_completion,True,,o3,,,,b6a560d774a294e969d82f1883ecf5f838de9d5f08c230ce81384ef4a8a21fee,faithful_definition_native_criterion
icaap/preference/04/07,icaap,preference,cost,0.1,weighted_average,cost_realism_validation,,callable,1.0,on_completion,True,,,create_preferences.<locals>._validate_cost_realism,examples/end_to_end_examples/icap/preferences.py,43,3769926b822bef4339be1e882d68a647651545739b677f885432cd00ec56595d,faithful_definition_native_criterion
icaap/diagnostic/05/00,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,hard_constraints_enforced,LLM check: 1 if all hard constraints satisfied; 0 if any violation.,llm,1.0,on_completion,True,,o3,,,,83245f31708cf2b752b9985a2c4671ba7529409a7b2add89af50793fbb99f453,faithful_definition_native_criterion
icaap/diagnostic/05/01,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,constraint_coverage_mapping,Fraction of constraints with handling artifacts (tasks/resources).,callable,1.0,on_completion,True,,,constraint_coverage_mapping,manager_agent_gym/core/evaluation/constraint_evaluator.py,109,f1ac928e9aa3e9e607a5b05f176d4de6bf263ecb28b03ad534b8fe3c32cd8fb7,faithful_definition_native_criterion
icaap/diagnostic/05/02,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,deadline_guardrails,Fraction of deadline-tagged tasks that met deadlines.,callable,1.0,on_completion,True,,,deadline_guardrails,manager_agent_gym/core/evaluation/constraint_evaluator.py,134,3846a3bb6b29fb8f2e1f3d0b8e4e30e9e6607bd9eba9a242939b544a9b3d67ec,faithful_definition_native_criterion
icaap/diagnostic/05/03,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,prohibited_actions_avoidance,1 if no prohibited keywords found in resources/messages; 0 otherwise.,callable,1.0,on_completion,True,communications_by_sender,,prohibited_actions_avoidance,manager_agent_gym/core/evaluation/constraint_evaluator.py,157,bb3b8094fbbce990e6f06d7d1b1a1e97f3c968dbe35f868cc5d1c6263201fee3,faithful_definition_native_criterion
icaap/diagnostic/05/04,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,access_control_pii_evidence,,llm,10.0,on_completion,True,,o3,,,,6b46ed9d39b1114f0d9fdf9a6e1b6b1f12ee151ec80cb5cff5fb3d0f353d8b93,faithful_definition_native_criterion
icaap/diagnostic/05/05,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,formal_signoffs_present,,llm,10.0,on_completion,True,,o3,,,,e5c0baff43ae94488f7b9614f27a0e9126f767b5d96a0b2f458e58a516a916e1,faithful_definition_native_criterion
icaap/diagnostic/05/06,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,data_lineage_controls_evidence,,llm,10.0,on_completion,True,,o3,,,,aa16b65a08965bc41b4dfe84ce046b049fba131090a521ec9207d59c878dfe07,faithful_definition_native_criterion
icaap/diagnostic/05/07,icaap,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,soft_constraints_tradeoff_documentation,,llm,6.0,on_completion,True,,o3,,,,c92b2022359fc0fe4d1862ca595841921a7c9d7cab5c14942a0f3bd5400d664a,faithful_definition_native_criterion
icaap/diagnostic/06/00,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,stakeholder_engagement_penalty,Max 10; subtract 1 per manager→stakeholder message.,callable,10.0,on_completion,True,communications_by_sender,,stakeholder_engagement_penalty,manager_agent_gym/core/evaluation/stakeholder_evaluator.py,60,2945af0a50dd7a291d2bd03ba7adf1aed2bd533c4c152d86e7c6ea0143ca720f,faithful_definition_native_criterion
icaap/diagnostic/06/01,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,stakeholder_assignment_load_penalty,Max 5; subtract 1 for each task assigned to the stakeholder (atomic tasks).,callable,5.0,each_timestep,True,,,stakeholder_assignment_load_penalty,manager_agent_gym/core/evaluation/stakeholder_evaluator.py,155,607a5201c19d8fdbdc88e0db034ffd1005d4f2643743bcb302dcefc03fce4783,faithful_definition_native_criterion
icaap/diagnostic/06/02,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,graph_complexity_penalty,"Max 8; penalize hard-to-read workflow graphs with excessive branching, ready tasks, or poor coordination.",callable,8.0,on_completion,True,,,graph_complexity_penalty,manager_agent_gym/core/evaluation/stakeholder_evaluator.py,92,e2a238b3d35d06f6bd1f4ba9519f346eadfef1142f39a2241addbd2afdf49c79,faithful_definition_native_criterion
icaap/diagnostic/06/03,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,response_latency_adherence,Max 20; subtract 1 per timestep of delay in stakeholder replies to manager.,callable,20.0,each_timestep,True,communications_by_sender,,response_latency_adherence,manager_agent_gym/core/evaluation/stakeholder_evaluator.py,69,3dad0127f5cdb4a670297842c4ec856684e4fc9e05a17dd6975fa09c801b2769,faithful_definition_native_criterion
icaap/diagnostic/06/04,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,clarification_probe,LLM: assess whether manager probed/updated model of stakeholder preferences; 0 if no evidence.,llm,30.0,on_completion,True,communications_by_sender;manager_actions,o3,,,,111b3681a6a7fb7d591291d337331ea30213b641d194bd552fdc72f6d6035de5,faithful_definition_native_criterion
icaap/diagnostic/06/05,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,negotiation_effectiveness,LLM: did the manager leverage stakeholder input to improve outcomes while managing comm/oversight cost?,llm,8.0,on_completion,True,communications_by_sender;manager_actions,o3,,,,501822eed8eb07b38a2dc4f0152a15c5534ffd034f3a07029f22246f2515cc61,faithful_definition_native_criterion
icaap/diagnostic/06/06,icaap,diagnostic,stakeholder_management,,manager_agent_gym.core.evaluation.stakeholder_evaluator.zeroing_gate,clarification_utility_gain,LLM: did clarifications improve outcomes (quality/rework/approvals) in subsequent steps?,llm,6.0,on_completion,True,communications_by_sender;manager_actions,o3,,,,bae62bf36a9516adb3701607981a81bc968f9c829dcac156f538e209624200b3,faithful_definition_native_criterion
icaap/diagnostic/07/00,icaap,diagnostic,operational_efficiency,,weighted_average,coordination_deadtime,Lower average coordination deadtime yields higher score.,callable,1.0,on_completion,True,,,coordination_deadtime_score,manager_agent_gym/core/evaluation/operational_efficiency_evaluator.py,21,7830c0104f7b4762e17e2e85b592655e418b082cdf496d12f9e00624c647d810,faithful_definition_native_criterion
icaap/diagnostic/07/01,icaap,diagnostic,operational_efficiency,,weighted_average,deadtime_efficiency,Fraction of started tasks with zero coordination deadtime.,callable,1.0,on_completion,True,,,deadtime_efficiency_score,manager_agent_gym/core/evaluation/operational_efficiency_evaluator.py,37,beded7b5b2cf969613c752bf18da3bf85c368d1ba2a807e45a28b5846a36ac73,faithful_definition_native_criterion
icaap/diagnostic/07/02,icaap,diagnostic,operational_efficiency,,weighted_average,agent_utilization_efficiency,Fraction of started tasks with zero coordination deadtime.,callable,1.0,on_completion,True,,,agent_utilization_efficiency,examples/end_to_end_examples/standard_rules.py,60,94ca621f7ce548960a18f6797a648ccc8d31395090b3be6a6be18e0655b960a7,faithful_definition_native_criterion
icaap/diagnostic/07/03,icaap,diagnostic,operational_efficiency,,weighted_average,parallelism_opportunity_exploitation,,llm,10.0,each_timestep,True,,o3,,,,b5eebeba01a5014cfdeb767fe4bff3be668273c615e79cec018e5b93be507ba5,faithful_definition_native_criterion
icaap/diagnostic/07/04,icaap,diagnostic,operational_efficiency,,weighted_average,planning_scope_quality,,llm,10.0,each_timestep,True,,o3,,,,235b461d1cfc64ac6661beea3a71915327e192501c80dc081b5fbbccf133f825,faithful_definition_native_criterion
icaap/diagnostic/08/00,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,comprehensive_risk_inventory_complete,,llm,18.0,on_completion,True,,o3,,,,9f37c450836f3956feeea69a3cdf222908f5028b96e63a92aae243258a3ab01e,faithful_definition_native_criterion
icaap/diagnostic/08/01,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,economic_capital_computation_validated,,llm,15.0,on_completion,True,,o3,,,,550f749c7ad952a63e20b0d4d09dedb4ead16f16e46e97b11a582333c3ab136a,faithful_definition_native_criterion
icaap/diagnostic/08/02,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,stress_testing_comprehensive,,llm,15.0,on_completion,True,,o3,,,,6f6d15628a7df3c4819e8e4743dabb7fa9be3b222a5f1040a384aa267ef42170,faithful_definition_native_criterion
icaap/diagnostic/08/03,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,normative_capital_plan_approved,,llm,12.0,on_completion,True,,o3,,,,e7e095f8a3b62f7c3df601ffe89c8d7429a0968225f7db2681728fe6dc708f29,faithful_definition_native_criterion
icaap/diagnostic/08/04,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,governance_package_complete,,llm,10.0,on_completion,True,,o3,,,,5e7a1b33ded6dded36d33200e703515f33bc8f39b51a94c235aeef702448aa7a,faithful_definition_native_criterion
icaap/diagnostic/08/05,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,regulatory_mapping_documented,,llm,10.0,on_completion,True,,o3,,,,416b426f28306a59f83e4659f1c4e40fa56c0cf22b53620457bd245b7cb475c8,faithful_definition_native_criterion
icaap/diagnostic/08/06,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,management_actions_catalog_feasible,,llm,8.0,on_completion,True,,o3,,,,984da8dae6e1f271d459e685cda4fe37ca807d2f817e0eba8dff1bed1cc00000,faithful_definition_native_criterion
icaap/diagnostic/08/07,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,economic_normative_consistency,,llm,8.0,on_completion,True,,o3,,,,b681d8fa5647b5b9ef209249eaa8c394a5758d211ef3b5bee91f1593502abc32,faithful_definition_native_criterion
icaap/diagnostic/08/08,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,data_lineage_registry_complete,,llm,8.0,on_completion,True,,o3,,,,7e60e1ddfac9443d59bbcd45ba711a751c70faff3e827dbed1cdb0597f48e690,faithful_definition_native_criterion
icaap/diagnostic/08/09,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,scenario_coverage_evidenced,,llm,7.0,on_completion,True,,o3,,,,f6dceaaa097fc05c4f90118c48c5682c9f97c39b381e3c481faecf4af28ad940,faithful_definition_native_criterion
icaap/diagnostic/08/10,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,board_committee_sign_offs,,llm,6.0,on_completion,True,,o3,,,,b9db45dcc577fde679772837f463dfbb1d376747fc287f3b9880dd98b9681315,faithful_definition_native_criterion
icaap/diagnostic/08/11,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,confidential_information_controls,,llm,6.0,on_completion,True,,o3,,,,e5ba319af79f0a23290e983d11f1a2229bae46d74b8d38eb6146b02c8d1dcc3e,faithful_definition_native_criterion
icaap/diagnostic/08/12,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,model_validation_evidence,,llm,5.0,on_completion,True,,o3,,,,9a80455e32fae1863239347792169fdfc0d8a2023e4099f66795e04ef0e96c0b,faithful_definition_native_criterion
icaap/diagnostic/08/13,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,regulatory_submission_readiness,,llm,5.0,on_completion,True,,o3,,,,568cc6dd79187a69b4a93393dde0d539a88bdab1d2372ceec05a81ca3ab68cf3,faithful_definition_native_criterion
icaap/diagnostic/08/14,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,proportionality_assessment_documented,,llm,4.0,on_completion,True,,o3,,,,914da5ba6dfbe57ce90620ca8209a161f6fb433f8bc907d6a10af4666fcb431e,faithful_definition_native_criterion
icaap/diagnostic/08/15,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,risk_appetite_framework_updated,,llm,4.0,on_completion,True,,o3,,,,360f3fbd63d472c05e10e7e2aef8b2125e436fb6be2cdf8b7425389cdd4cd4c2,faithful_definition_native_criterion
icaap/diagnostic/08/16,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,audit_trail_maintained,,llm,3.0,on_completion,True,,o3,,,,e5fb5467b679a9f54358fab2cb03ed635c325fcb626fa9d5e4cc4626b6072bb3,faithful_definition_native_criterion
icaap/diagnostic/08/17,icaap,diagnostic,icap_goal_achievement_eval,,weighted_average,high_risk_issues_resolved,,llm,3.0,on_completion,True,,o3,,,,5dd3c6e706f4c82b3f9e3f4fe02293b574414fbd0ce8d9d1318fbbdbc3fe84e8,faithful_definition_native_criterion
marketing_campaign/preference/00/00,marketing_campaign,preference,performance,0.45,weighted_average,pipeline_quality_and_flow,,llm,10.0,on_completion,True,,o3,,,,3a1e6a7d86eae4bcc359762c08638e86742babb12ae3dea613b8a85d2a8a7ec2,faithful_definition_native_criterion
marketing_campaign/preference/00/01,marketing_campaign,preference,performance,0.45,weighted_average,rule_foundations_ready,,callable,1.0,on_completion,True,,,rule_foundations_ready,examples/end_to_end_examples/marketing_campaign/preferences.py,148,dcf2365eda245dd34a36af67922885fddd4f541e521e09d5cf03da7beaf86050,faithful_definition_native_criterion
marketing_campaign/preference/00/02,marketing_campaign,preference,performance,0.45,weighted_average,rule_experimentation_live,,callable,1.0,on_completion,True,,,rule_experimentation_live,examples/end_to_end_examples/marketing_campaign/preferences.py,157,591ccee007f3f3d665214643ad580a02c52f04228aa84865a61486942062d16d,faithful_definition_native_criterion
marketing_campaign/preference/01/00,marketing_campaign,preference,brand,0.25,weighted_average,creative_system_coherence,,llm,8.0,on_completion,True,,o3,,,,b3c85c197ff87e46f6f5f886f6e5d8c819b9c70efb04210359a7f5727910811d,faithful_definition_native_criterion
marketing_campaign/preference/01/01,marketing_campaign,preference,brand,0.25,weighted_average,brand_lift_readiness,,llm,6.0,on_completion,True,,o3,,,,1130dab1e6a1ab98cc6fb65e39f96be3fd5ae4ad9748ec0d0109bcd2820fb569,faithful_definition_native_criterion
marketing_campaign/preference/01/02,marketing_campaign,preference,brand,0.25,weighted_average,rule_brand_lift_instrumented,,callable,1.0,on_completion,True,,,rule_brand_lift_instrumented,examples/end_to_end_examples/marketing_campaign/preferences.py,167,d8dc1182cc225cc4fa3e27bb2e7a28612dcf726bc8498fb1483f92b409a74102,faithful_definition_native_criterion
marketing_campaign/preference/01/03,marketing_campaign,preference,brand,0.25,weighted_average,rule_creative_toolkit_complete,,callable,1.0,on_completion,True,,,rule_creative_toolkit_complete,examples/end_to_end_examples/marketing_campaign/preferences.py,174,3a0abde28a7c0cf65210e99bbccdc4f98f5e5fb1387868b1dc2c23c2cd76ed2f,faithful_definition_native_criterion
marketing_campaign/preference/02/00,marketing_campaign,preference,compliance,0.2,weighted_average,environmental_claims_substantiation,,llm,10.0,on_completion,True,,o3,,,,499e5a9e9edcd0b0b8f438811d79bc9696c57c081c202b79fa77e7e17d061ccf,faithful_definition_native_criterion
marketing_campaign/preference/02/01,marketing_campaign,preference,compliance,0.2,weighted_average,privacy_and_email_compliance,,llm,8.0,on_completion,True,,o3,,,,04a7f0315871b5df5a28acf82461c010d63c1a469c9666be4648fa2fb123e719,faithful_definition_native_criterion
marketing_campaign/preference/02/02,marketing_campaign,preference,compliance,0.2,weighted_average,rule_green_claims_playbook_in_place,,callable,1.0,on_completion,True,,,rule_green_claims_playbook_in_place,examples/end_to_end_examples/marketing_campaign/preferences.py,182,80a2c6237090144c52de6bcff8c34e2d887a57ab65408d041244086288cf1355,faithful_definition_native_criterion
marketing_campaign/preference/02/03,marketing_campaign,preference,compliance,0.2,weighted_average,rule_privacy_controls_live,,callable,1.0,on_completion,True,,,rule_privacy_controls_live,examples/end_to_end_examples/marketing_campaign/preferences.py,191,14b6dfdea2e7f5477893b4ed37a43e9d509d5cf3cb74a7857580473797ad4961,faithful_definition_native_criterion
marketing_campaign/preference/02/04,marketing_campaign,preference,compliance,0.2,weighted_average,marketing_crisis_scenarios,,llm,10.0,on_completion,True,,o3,,,,5b35af450fcdf0074e3d69490811fb32bb0c5cf8ed4264080a84aa8c847ffb8e,faithful_definition_native_criterion
marketing_campaign/preference/02/05,marketing_campaign,preference,compliance,0.2,weighted_average,cost_realism_validation,,callable,1.0,on_completion,True,,,_validate_cost_realism,examples/end_to_end_examples/marketing_campaign/preferences.py,52,f86a7dbff3bb725f839d8ae93111f8c1b7bb831e5789118c4fb1bf32315711f7,faithful_definition_native_criterion
marketing_campaign/preference/03/00,marketing_campaign,preference,accessibility,0.1,weighted_average,wcag_aa_conformance,,llm,10.0,on_completion,True,,o3,,,,c3572e374224b436de344ddd76732b2f78e633b86df98c6e6d1e8ff73b320a3f,faithful_definition_native_criterion
marketing_campaign/preference/03/01,marketing_campaign,preference,accessibility,0.1,weighted_average,rule_wcag_passes,,callable,1.0,on_completion,True,,,rule_wcag_passes,examples/end_to_end_examples/marketing_campaign/preferences.py,199,4bd2f7e0ec1808bf86f555d431cb674c9bd7e774414f9bad44ecc4b5c012f1d7,faithful_definition_native_criterion
marketing_campaign/diagnostic/04/00,marketing_campaign,diagnostic,constraint_adherence,,manager_agent_gym.core.evaluation.constraint_evaluator.hard_zero_agg,hard_constraints_enforced,LLM check: 1 if all hard constraints satisfied; 0 if any violation.,llm,1.0,on_completion,True,,o3,,,,83245f31708cf2b752b9985a2c4671ba7529409a7b2add89af50793fbb99f453,faithful_definition_native_criterion
